incident_no,incident_type,address,incident_date,incident_datetime,ESRI_OID,FID
7PA0108918,TRESPASS        ,1000 BLOCK. WALNUT ST,1950798221,2017-11-17T22:02:37.000Z,96,1
7PA0109014,TRAFFIC STOP    , COLORADO / SAN GABRIEL BL,1951599586,2017-11-18T02:16:02.000Z,181,2
7PA0108919,TRAFFIC STOP    , DEL MAR / RAYMOND AV,1950798299,2017-11-17T22:03:15.000Z,97,3
7PA0108920,TRAFFIC STOP    , COLORADO / FAIR OAKS AV,1950798324,2017-11-17T22:03:40.000Z,98,4
7PA0108921,TRAFFIC STOP    , COLORADO / SIERRA MADRE BL,1950798531,2017-11-17T22:05:47.000Z,99,5
7PA0108922,TRAFFIC STOP    , COLORADO / RAYMOND AV,1950798641,2017-11-17T22:06:57.000Z,100,6
7PA0108924,TRAFFIC STOP    , DEL MAR / MADRE ST,1950798930,2017-11-17T22:09:46.000Z,101,7
7PA0108925,OTHER PMC       ,400 BLOCK. VILLA ST,1950799121,2017-11-17T22:11:37.000Z,102,8
7PA0108926,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1950799307,2017-11-17T22:13:23.000Z,103,9
7PA0108926,LOCATION CHECK  ,100 BLOCK. COLORADO BL,1950799307,2017-11-17T22:13:23.000Z,103,10
7PA0108927,MISC FELONY     ,2200 BLOCKE. COLORADO BL,1950799316,2017-11-17T22:13:32.000Z,104,11
7PA0108928,TRANSIENT       ,800 BLOCK. LAKE AV,1950799519,2017-11-17T22:15:35.000Z,105,12
7PA0108929,TRAFFIC STOP    , LAKE / MAPLE ST,1950799524,2017-11-17T22:15:40.000Z,106,13
7PA0108930,G THEFT AUTO    , FAIR OAKS / WASHINGTON BL,1950799641,2017-11-17T22:16:57.000Z,107,14
7PA0108931,LOCATION CHECK  ,100 BLOCK COLORADO BL,1950799996,2017-11-17T22:20:12.000Z,108,15
7PA0108931,LOCATION CHECK  ,100 BLOCK COLORADO BL,1950799996,2017-11-17T22:20:12.000Z,108,16
7PA0108932,OUTSIDE ASSIST  ,500 BLOCK. COLORADO BL,1950800038,2017-11-17T22:20:54.000Z,109,17
7PA0108933,OUTSIDE ASSIST  ,100 BLOCK. ALTADENA DR,1950800096,2017-11-17T22:21:12.000Z,110,18
7PA0108934,TRAFFIC STOP    , BACKUS / DEL MAR BL,1950800428,2017-11-17T22:24:44.000Z,111,19
7PA0108935,PUBLIC ASSIST   ,1900 BLOCKLINCOLN AV,1950800542,2017-11-17T22:25:58.000Z,112,20
